Integer;Categorical;Numerical;Numerical;Categorical;Categorical;Categorical;Categorical;Categorical;Categorical;Categorical;Numerical;Ordinal;Ordinal;Categorical;Categorical;Label 1;Label 2;Label 3;Label 4;Label 5;Label 6;Label 7
ID;Motorway;SR;NR;TR;VR;SUR1;SUR2;SUR3;UR;FR;OR;RR;BR;MR;CR;Green frogs;Brown frogs;Common toad;Fire-bellied toad;Tree frog;Common newt;Great crested newt
1;A1;600;1;1;4;6;2;10;0;0;50;0;0;0;1;0;0;0;0;0;0;0
2;A1;700;1;5;1;10;6;10;3;1;75;1;1;0;1;0;1;1;0;0;1;0
3;A1;200;1;5;1;10;6;10;3;4;75;1;1;0;1;0;1;1;0;0;1;0
4;A1;300;1;5;0;6;10;2;3;4;25;0;0;0;1;0;0;1;0;0;0;0
5;A1;600;2;1;4;10;2;6;0;0;99;0;5;0;1;0;1;1;1;0;1;1
6;A1;200;1;5;1;6;6;10;1;0;50;0;0;0;1;0;0;0;0;0;0;0
7;A1;500;1;5;0;6;6;10;1;2;25;0;0;0;2;0;0;1;0;0;0;0
8;A1;700;1;5;2;10;6;9;0;0;100;1;1;0;1;1;1;0;1;0;0;0
9;A1;750;2;5;1;6;1;2;0;1;50;1;0;0;1;0;1;1;0;0;0;0
10;A1;200;1;12;4;2;7;6;0;0;75;1;0;0;1;0;1;1;0;0;0;0
11;A1;200;1;1;4;2;7;1;0;0;100;2;1;0;1;1;0;0;0;0;0;0
12;A1;300;1;14;2;1;2;7;0;0;100;2;1;0;1;0;1;1;0;0;0;0
13;A1;7000;1;1;1;2;6;10;3;3;50;1;5;0;1;1;0;1;0;0;0;0
14;A1;1700;1;1;1;2;6;10;0;1;100;2;2;2;1;1;1;1;0;0;0;0
15;A1;8000;1;1;3;2;10;7;0;0;100;9;9;0;1;0;1;1;0;0;0;0
16;A1;30000;1;1;3;1;1;1;0;0;100;2;10;0;1;1;1;1;1;1;0;0
17;A1;300;1;12;4;1;1;1;0;0;100;5;10;0;1;0;1;1;0;1;0;0
18;A1;300;1;15;1;1;1;9;0;0;75;0;5;0;1;0;1;1;0;0;0;0
19;A1;1600;3;1;0;2;6;2;3;1;75;2;1;0;1;1;1;1;1;0;0;0
20;A1;3800;6;1;2;6;6;2;3;1;25;0;0;0;1;1;0;1;0;1;0;0
21;A1;7000;6;1;1;6;10;2;3;4;50;0;0;0;1;1;0;1;0;0;0;0
22;A1;2500;1;1;3;10;2;6;0;1;100;0;1;0;1;1;0;1;0;0;1;0
23;A1;800;1;1;0;1;2;7;3;4;100;2;1;0;1;0;1;1;0;0;0;0
24;A1;1700;1;1;3;10;6;2;0;0;100;0;0;0;1;0;1;1;0;0;0;0
25;A1;300;1;1;2;7;2;10;0;0;100;5;5;2;1;1;0;0;0;0;1;0
26;A1;4500;1;1;1;2;2;9;3;2;100;9;9;0;1;1;1;1;0;1;0;0
27;A1;1000;1;12;4;2;2;1;0;0;100;5;9;0;1;0;1;0;0;0;0;0
28;A1;7000;1;1;4;2;2;1;0;0;100;5;5;0;1;0;0;0;1;1;0;1
29;A1;30000;1;1;3;2;2;1;1;0;100;5;5;0;1;1;1;1;0;0;1;1
30;A1;7000;1;1;3;2;2;7;0;0;100;0;1;0;1;0;1;1;0;1;0;0
31;A1;3300;1;1;3;2;1;7;0;0;100;5;5;0;1;0;1;0;0;1;0;0
32;A1;2100;1;1;3;2;9;2;0;0;50;0;1;0;1;0;0;0;0;1;0;0
33;A1;500;1;1;0;2;10;6;3;4;100;2;1;0;1;1;1;0;0;0;0;0
34;A1;400;2;1;2;2;10;10;0;0;100;1;5;0;1;0;1;0;0;0;0;0
35;A1;300;1;1;1;2;10;10;0;0;100;2;2;0;1;0;1;1;0;0;0;0
36;A1;1100;1;1;0;2;6;10;3;4;100;2;2;0;1;0;1;1;0;0;0;0
37;A1;1000;1;1;2;2;10;6;0;0;100;1;1;0;1;0;0;0;1;0;0;0
38;A1;400;1;5;1;6;2;10;1;0;75;2;0;0;1;0;0;1;0;1;0;1
39;A1;100;1;1;2;2;6;10;0;0;100;1;1;0;1;0;1;0;0;0;0;0
40;A1;100;1;5;1;7;2;6;3;0;100;2;1;0;1;1;0;0;0;0;0;0
41;A1;80000;1;12;4;2;2;7;0;0;100;5;5;0;1;1;0;0;1;1;0;0
42;A1;200;1;12;4;2;2;7;0;0;100;5;5;0;1;0;0;1;1;1;0;0
43;A1;100;1;11;4;2;6;7;0;0;100;5;5;0;1;0;0;1;0;1;0;0
44;A1;2500;1;1;3;7;2;9;0;0;75;0;2;0;1;0;1;0;0;0;0;0
45;A1;31000;6;1;0;2;7;6;3;4;100;5;5;0;1;1;1;1;0;0;0;0
46;A1;500;1;12;4;2;7;2;0;0;100;5;5;0;1;1;1;1;1;1;0;0
47;A1;25000;5;1;0;2;9;7;3;4;75;0;0;0;1;1;0;0;1;0;0;0
48;A1;40000;1;1;1;2;2;6;3;2;100;5;0;0;1;1;1;0;1;0;1;0
49;A1;1900;7;12;4;2;6;7;0;0;100;5;5;0;1;1;1;0;0;1;1;0
50;A1;30;1;1;2;2;7;6;0;0;75;0;1;0;1;0;1;1;0;0;1;0
51;A1;4300;1;1;3;1;2;2;0;0;100;5;5;0;1;1;1;1;0;1;0;1
52;A1;4000;1;1;3;1;1;2;0;0;100;5;5;0;1;1;1;1;0;0;0;0
53;A1;300;1;1;4;1;2;6;0;0;99;2;2;0;1;0;1;0;0;0;0;0
54;A1;400;1;1;2;1;7;6;0;0;100;0;1;0;1;0;1;0;0;0;1;0
55;A1;1000;1;1;1;2;2;1;0;0;100;5;5;0;1;1;1;1;1;1;1;0
56;A1;1500;2;2;2;7;2;6;1;2;100;5;0;0;1;0;1;1;0;0;0;0
57;A1;300;1;14;3;7;2;1;0;0;100;5;5;0;1;1;1;1;0;1;1;0
58;A1;600;1;1;2;7;1;10;0;0;100;2;2;0;1;0;0;0;0;1;0;0
